,title,overview,genres
5141,God's Little Republic,A young archeology student comes to Królowy Most to study the cellars under the church. She finds there a collection of historic documents which may have an enormous impact on the future and prosperity of the village.,Comedy
5142,The Unseen Sister,"Qiao Yan, born in a border town in southwest China, becomes a star actress after much effort and struggle. But despite her aura of glamour, she always feels hidden pressure. When she receives a threatening anonymous letter, her long-estranged sister suddenly comes to see her.","Drama ,Mystery"
5143,The Last Redemption,"In a land of swords and sorcery, bandits break from their gang to protect a little girl, pitting them against their old friends and former leader who was once like a father to them.","Adventure ,Fantasy ,Action"
5144,BanG Dream! It's MyGO!!!!! Movie 2,Theatrical compilation of BanG Dream! It's MyGO!!!!!,"Music ,Animation"
5145,Hotel Bitcoin,"A group of friends have to survive a weekend in a hotel with a huge amount of virtual money to guard, putting their ingenuity to the test.",Comedy
5146,La Ruta,"Two years after having migrated from Uruguay to the Netherlands, Sofía returns to her hometown to visit her family, expecting to jump right into her old life again. The reality of what she encounters is very different, as Sofía realizes that things have changed. Is this place still her home, or did her home turn into a strange place?",
5147,The Girl with the Needle,"Struggling to survive in post-WWI Copenhagen, a newly unemployed and pregnant young woman is taken in by a charismatic elder to help run an underground adoption agency. The two form an unexpected bond, until a sudden discovery changes everything.","Drama ,History"
5148,AEW All In 2024: London,"The 2024 All In, also known as All In London at Wembley Stadium or simply All In London, was a professional wrestling pay-per-view (PPV) event produced by All Elite Wrestling (AEW). This event marked the second annual All In under the AEW banner and the third All In overall. It took place on August 25, 2024, at Wembley Stadium in London, England, coinciding with the United Kingdom's August Bank Holiday weekend.",Action
5149,Time moves slower when you notice it,A man in a nonsensical world reading a book while time seemingly goes on forever in a loop,
5150,My Sextortion Diary,"Pati, a young film producer, is fighting to carve out a professional career in the film industry. It is May 2019 when her laptop is stolen during a business trip in Madrid. Two months after, an anonymous Hacker accesses all the stored data in the stolen device and finds three very private photos of Pati. He threatens that if he doesn’t receive $2,400 he will mass-mail the pictures to all her work contacts in order to ruin her professional reputation. The shame, anger and distress caused by the ineffectiveness of the legal forces lead Pati to set out on her own investigation to stop the Hacker and regain control and power over her privacy.","Documentary ,Thriller"
5151,During the Rains,"The film depicts a coming-of-age story centered on the two sugar babies, Kotone, who is unemployed, and Sakura, a college student, in the coronavirus pandemic, as they try their best to live at the mercy of frivolous men.",Drama
5152,Christmas Telethon,"Local TV channel news anchors Nick Roberts and Kelly Snow host the absolute worst holiday telethon to save the network from bankruptcy. The worst talent, the worst acts, a doofus crew, a narcissist weatherman, and its over-the-top station owner, Jon Sampson, create a perfect holiday storm in this Christmas Eve cavalcade comedy.",Comedy
5153,Dreams,"Johanne falls in love with her teacher and records her fantasies and feelings in writing. Together with her mother and grandmother, they debate the literary potential and whether to publish it.","Romance ,Drama"
5154,Fragments of This Beauty,"A focus on one of Turkey’s most bloody political massacres. In 1977, two men in a hotel room over a period of two days eat, shower, watch a soccer match on TV, stare at a painting on the wall and daydream. These two men are killing time before they cause the deaths of 34 people.","History ,Drama"
5155,The Divine Sarah Bernhardt,"1915, Sarah Bernhardt is the world's first star. Free. Modern. Divine. Eccentric. Visionary... Between legend and fantasy, Sarah Bernhardt tells us the love story that marked her life.","Drama ,Romance"
5156,Untitled Wedding Movie,,Drama
5157,The Stress Is Killing Me,"At their 20th college reunion, eight old friends take a house for the week and decide to try doing their dream jobs: teacher, detective, sex therapist, instead of their boring jobs, and their dream jobs all go hilariously wrong.",Comedy
5158,Eephus,"As an imminent construction project looms over their beloved small-town baseball field, a pair of New England rec-league teams face off for the last time. Tensions flare up and ceremonial laughs are shared as an era of camaraderie and escapism fades into an uncertain future.","Drama ,Comedy"
5159,Finite and Infinite Games,"Alexander Kluge, the legendary German theorist and writer, student under Adorno and Horkheimer, a lawyer for the Frankfurter Schule, and paramount filmmaker of the New German Cinema is being interviewed by Sarah Morris in the recently finished but not yet utilized architecture of the controversial philharmonic space in Hamburg designed by Herzog and De Neuron: the Elbphilharmonie.",
5160,Inside,"After being transferred from juvenile to adult prison, Mel Blight is taken under the wing of both Mark Shepard, Australia’s most despised criminal, and Warren Murfett, a soon to be paroled inmate. As a paternal triangle grows between them, we see that even the worst of men have a little bit of good inside that will be their undoing.","Crime ,Drama ,Thriller"
5161,The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive.","Horror ,Thriller"
5162,bodybags,"A feature adaptation and expansion of the story in ""bodybag"" (2024).",Horror
5163,Round the Decay,"Tourists and townspeople settle in for a seemingly normal off-season day in Newport's Valley, New Hampshire, while something sinister lurks.","Horror ,Adventure"
5164,Dark Nuns,"Desperation drives two nuns to perform an exorcism no nun should attempt. With a possessed child at the mercy of evil and the opposition of the Catholic Church, they take on the dangerous forbidden rituals themselves, putting their immortal souls in grave danger. They must confront the terrifying cost of their sacrilegious actions, but one goal remains: the boy must be saved at all costs.","Horror ,Mystery ,Thriller ,Drama"
5165,They Will Be Dust,"After receiving the diagnosis of an incurable brain tumor, Claudia decides to undertake her last trip to Switzerland. There she can decide how and when to end her life thanks to the help of an assisted suicide association.","Drama ,Music ,Comedy"
5166,Story of a Night,"Piero and Elisabetta loved each other very much, despite the opposition of her parents, and had three children with whom they formed a seemingly indissoluble unit. But when the eldest, Flavio, loses his life in an accident, the family falls apart: Elisabetta and Piero glare at each other and exchange ferocious jokes, unable to overcome that tragic event and not blame each other. It is the two remaining children, Dennis and Sara, who convince them to celebrate Christmas together in Cortina d'Ampezzo, the town where their maternal grandparents own a luxurious chalet. The two children have a plan, which will however be abruptly interrupted by an unexpected event. All the family dynamics will be called into question, and will keep everyone in suspense for a long night of waiting and reflections on the past.",Drama
5167,Joe Baby,"Joe Baby  is a private investigator searching for money that has been stolen from Heather Stanton, only to find all roads lead to the mysterious death of her father, Walter Baby.","Action ,Thriller ,Crime ,Mystery"
5168,Umamusume: Pretty Derby - Beginning of a New Era,"Jungle Pocket, an Umamusume who has been racing tirelessly in pursuit of becoming the greatest, is ready to take on the once-in-a-lifetime Classic Triple Crown series. However, standing in her way are rivals from the same generation, whose talent may even surpass her own.","Animation ,Drama ,Comedy ,Fantasy"
5169,Bendy and the Ink Machine,Live-action/CGI hybrid film adaptation of Joey Drew Studios' 'Bendy and the Ink Machine' video game franchise. Plot TBA.,"Horror ,Thriller ,Adventure"
5170,River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.,"Horror ,Thriller"
5171,Stork of Hope,"In the early days of World War II, two Jewish brothers lost their parents during the Nazi invasion of Belarus. The boys were imprisoned in a German hospital and found many of their peers there. They were kept in inhuman conditions - hunger, cold, lack of sleep and rest. The only thing the boys had, their treasure - was a family portrait with mom and dad. Before the fascists separated brothers, each of them got half of it.","War ,History ,Drama"
5172,The Eminence in Shadow: Lost Echoes,,"Animation ,Comedy ,Adventure ,Fantasy"
5173,Scénarios,"In French, ""scénario"" is cinema's name for how it tells stories. This is the title Jean-Luc Godard chose for his final film, which was literally completed the day before his self-death. The two segments of this film open with a series of identical sequences. The second segment then diverges and ends on a self-portrait of Jean-Luc Godard -his last images- sitting on his bed, bare-chested, he hides none of the wear on his body in the manner of Pigalle's sculpted portrait of Voltaire. ""Scénarios"" ends as it began, with a repetition, the figure of eternal return, the moment where time, which has been the great -if not unique- question of cinema, will have ceased to flow.",Documentary
5174,John Lilly and the Earth Coincidence Control Office,"The daring experimenter Dr. John C. Lilly dedicated his life to radical self-investigation and unlocking the mysteries of consciousness and communication. “My body is my laboratory” was the motto, and his research on the language of dolphins and whales – as well as psychedelics and sensory deprivation – assured his own cult status in 20th-century pop culture as the basis for Ken Russel’s Altered States and Mike Nichols’s The Day of the Dolphin.  Directors Michael Almareyda and Courtney Stephens, along with narrator Chloë Sevigny, explore the life of a determined scientist and his experiments into the psychonautical unknown.",Documentary
5175,Stepmom has super big K-cup breasts,kcup stepmom,
5176,A Girl Named Ann,A drug-addicted girl from an abusive family finds hope through kind people but her grim reality strikes back just as she sees a glimmer of light.,Drama
5177,Look Behind You,"A hipster goes camping with his childhood friend, determined to convince him to call off his engagement. Unbeknownst to them, a mysterious evil lurks in the woods.",
5178,Homestead,"A nuclear bomb is detonated in Los Angeles, and the nation devolves into unprecedented chaos. Ex-Green Beret Jeff Eriksson and his family escape to The Homestead, an eccentric prepper’s fortress nestled in the mountains. As violent threats and apocalyptic conditions creep toward their borders, the residents of The Homestead are left to wonder: how long can a group of people resist both the dangers of human nature and the bloodshed at their doorstep?",Drama
5179,Outbreak,"A State Park Ranger and his wife, grappling with the disappearance of their teenage son, face a mysterious outbreak that threatens not only their relationship, but in the end, their grip on reality.","Horror ,Mystery ,Thriller"
5180,Treasure Hunters: On the Tracks of Khufu,An eccentric archaeologist goes on an unexpected journey to find King Khufu's lost treasure with his daughter and grandson.,"Adventure ,Comedy"
5181,Dr. Horrible's Unofficial Sing-Along Sequel,"The gang's all back and more horrible than ever!  We pick up with our beloved doctor an unknown time since we last saw him join the ranks of the Evil League of Evil...  What new faces, new friends, and new enemies await? Grab some fro-yo and come find out.",
5182,Nadaaniyan,A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,"Romance ,Comedy ,Drama"
5183,흑인거근에  나락 가버린 아내,a lonely wife...,
5184,Toofan,"Born into tragedy, Galib rises from village outcast to criminal mastermind ""Toofan"" in 90s Bangladesh. As authorities close in, he takes desperate measures to maintain his empire, sparking a dangerous game of power and identity.","Crime ,Action"
5185,Freiheit über alles,short feature film,
5186,Kill 'em All 2,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.","Action ,Crime ,Thriller"
5187,Black Box Diaries,"Journalist Shiori Ito embarks on a courageous investigation of her own sexual assault in an improbable attempt to prosecute her high-profile offender. Her quest becomes a landmark case in Japan, exposing the country's outdated judicial and societal systems.",Documentary
5188,Ghostlight,"When a construction worker unexpectedly joins a local theater's production of Romeo and Juliet alongside his estranged teenage daughter, the drama onstage starts to mirror his own life.","Comedy ,Drama"
5189,The Other Way Around,"After 15 years together, Ale and Alex choose an unconventional way to part ways: by hosting a party to celebrate their separation. Their unexpected decision leaves friends and family confused, forcing everyone to confront their own views on love, relationships, and new beginnings in this bittersweet, heartfelt story.","Comedy ,Drama"
5190,My Wild Friend,"Seventh-grader Sasha Menshikov is finishing the school year at a new school and lives with his aunt Nina in a small picturesque town. Sasha's mother, a famous scientist, brought him here from Moscow for the duration of her next expedition. Things didn't work out with Sasha's classmates; after school, he often walks alone in nature. One day in the forest, Sasha finds a little fox caught in a trap. Having learned that poachers are hunting for the fox cub, the boy hides him in a dugout deep in the forest and begins to nurse him. This begins a touching and adventurous story about friendship, responsibility and justice.","Family ,Adventure"
5191,To a Land Unknown,"Cousins Chatila and Reda are saving to pay for fake passports to get out of Athens. When Reda loses their hard-earned cash to his drug addiction, Chatila hatches an extreme plan to pose as smugglers in an attempt to get them out of their desperate situation before it is too late.","Thriller ,Crime"
5192,Loveyapa,The madness after a couple exchanges their mobile phones and begins to unearth bitter truth about each other.,"Comedy ,Drama ,Romance"
5193,The Resurrection of the Christ: Part Two,The second part of a two-part sequel to The Passion of the Christ. Plot TBA.,Drama
5194,Assemblage,"Tonight is the last chance for Alex to change his fate. As he puts an intricate plan into action, the shady characters and unexpected twists make it a perilous, high-stakes gamble.",Thriller
5195,Heel,"A farmer, grieving the loss of his dog, begins time travelling to spend more time with his four-legged companion; a plan that drives him towards a painful confrontation with the state of his life and those he has left behind.","Science Fiction ,Drama"
5196,Nocturnes,"In the dense forests of the Eastern Himalayas, moths are whispering something to us. In the dark of night, two curious observers shine a light on this secret universe.",Documentary
5197,Naruto,An outcast in a village of ninjas sets out to become the leader and strongest warrior of his home.,"Action ,Adventure"
5198,Városlakók,,Documentary
5199,Self Driver,"Facing mounting expenses and the unrelenting pressure of modern living, a down-on-his-luck cab driver is lured on to a mysterious new app that promises fast, easy money. As his first night on the job unfolds, he is pulled ever deeper into the dark underbelly of society, embarking on a journey that will test his moral code and shake his understanding of what it means to have freewill. The question becomes not how much money he can make, but what he'll be compelled to do to make it. If you've got nothing to lose, how far would you go?",Thriller
5200,Aliens Return,"A terrified bride-to-be, Mya, discovers a mysterious black substance at her picturesque English manor wedding venue, leading to horrifying events.",Horror
5201,Blood'less' Revolution,"In 1974, a group of men lost their lives in what is still called today the Bloodless Revolution of Portugal.","Drama ,History"
5202,Wróbel,"Remek Wróbel is a mailman and an enthusiastic member of an amateur football team. He’s pushing on forty, living the life of a bachelor. One day, everything changes – his neat, tidy life is turned upside down by the appearance of Grandpa, whom he hadn’t met before, and his new chatty neighbour, Marzenka.","Drama ,Comedy ,Fantasy"
5203,The Activated Man,"After Ors Gabriel loses his beloved dog to cancer, the shock from the trauma produces strange vision projections that force Ors to wrestle with two possibilities: that his mind has fractured, or that it's actually real.","Thriller ,Horror"
5204,Les oubliés du Delta,,"Thriller ,Crime ,TV Movie"
5205,Conjuring Tapes,"While sorting through their late friend's belongings, two women discover VHS tapes showing them in haunting, unfamiliar scenes, each one drawing them into the grasp of a mysterious, malevolent entity.","Horror ,Mystery"
5206,Frozen IV,Plot TBA,"Animation ,Fantasy ,Family ,Adventure"
5207,WWE Backlash: France,"Backlash France is the upcoming 19th Backlash professional wrestling pay-per-view (PPV) and livestreaming event produced by the American company WWE. It will be held for wrestlers from the promotion's Raw and SmackDown brand divisions. The event will take place on Saturday, May 4, 2024, at the LDLC Arena in the Lyon commune of Décines-Charpieu, France, marking WWE's first PPV and livestreaming event held in France. The concept of the event will be based around the backlash from WrestleMania XL.",Action
5208,Blossoms Under Somewhere,"A story of two female secondary students, one with spasmophemia and the other dyslexia, getting into troubles when they try to seek self-identity through online business at the moral edge.",Drama
5209,Gates of Flesh,"A group of friends attempt to escape the city after an outbreak of demon-possessions. The friends seek shelter in an abandoned church, but their plans for escape are ruined when one of them becomes possessed.","Horror ,Thriller ,Action"
5210,He Ain't Heavy,A desperate woman kidnaps and enforces rehab on her violent brother in a last-ditch effort to save their lives.,"Drama ,Thriller"
5211,Crypto Man,"Ok-ja and her son Do-hyun falsely register in Daechi-dong, Seoul, for better schooling despite her limited finances. Do-hyun, envious of his wealthy schoolmate Sang-su for receiving disability benefits, learns that he isn't actually disabled, exposing flaws in government benefits. At university, he and his new friend Ji-woo manipulate government policies for entrepreneurial subsidies, intentionally failing to exploit government leniency. Seeking greater wealth, he embarks on a dubious cryptocurrency venture with investor Kevin, sidelining Ji-woo and enjoying brief success before their scheme crumbles due to regulatory scrutiny. They literally try to make bigger money with bigger money, but end up creating a Death Business.","Drama ,Crime"
5212,The Unrighteous,"In an old multi-family house, Wonjung Villa, Joo-hyun casually puts the missionary paper of the cult-church received by accident into the mailbox of Shin-hye. Shin-hye gradually devotes herself to the church and passionately evangelizes her neighbors for treating her sick son.","Thriller ,Mystery ,Horror"
5213,Rite Here Rite Now,"Whether you’re a devoted disciple looking to relive treasured memories of the GHOST live spectacle or among the curious uninitiated, RITE HERE RITE NOW will put you right there: putting your phones down and living in the moment—as a shadow of uncertainty looms—completely spellbound and in the thrall of this bombastic yet intimate cinematic portrait of GHOST.","Music ,Documentary"
5214,Nutcrackers,"Just as Mike is on the heels of closing the biggest deal of his career, he's pulled away from his bachelor life in the big city to a farm in rural Ohio in order to help his recently orphaned nephews find a new home.","Drama ,Comedy"
5215,Les aventures de Tintin,,"Animation ,Adventure"
5216,Algea: God of Pain,A man wakes up in the middle of the street with no idea where he is or how he ended up there. Soon he is forced to confront the demons he is battling within before a gateway to the underworld unlocks the secret of Algea the God of Pain.,"Horror ,Science Fiction ,Thriller"
5217,Grafted,"When an awkward but brilliant Chinese student wins a scholarship into a prestigious New Zealand University, she finds a new way of achieving the popularity she craves one bloody body at a time.",Horror
5218,Don Q,"Feeding off decades of delusion, longtime Little Italy resident Don Q believes himself to be a powerful mafia figurehead set out to reclaim the neighborhood and its fleeting values. It isn't until the return of a ruthless ex-con that Q's fantasy is put to the test, landing the self-proclaimed Don and a loyal recruit in an ensuing turf war.","Crime ,Drama ,Comedy"
5219,Artificial (Emotional) Intelligence,"Julia lives lonely and apathetic in a technological house, sharing her life only with an artificial intelligence assistant named Lukas. However, when an online date doesn't show up, the AI ​​makes a frightening revelation.","Science Fiction ,Thriller ,Horror"
5220,The Body,"Rich entrepreneur Rebecca Zuin has died from an alleged heart attack, raising suspicions on the part of a police inspector after her body disappears from the morgue. When her handsome young husband becomes a suspect, he starts thinking she may have faked her death to sadistically torment him.","Thriller ,Mystery"
5221,Above the Below,A trio of astronauts survives a destructive re-entry to Earth and found that they are cut off from the world,"Action ,Thriller"
5222,Wild Eyed and Wicked,"Lily Pierce is sick of being haunted. She decides to reconnect with her estranged father, a disgraced history professor, and learn how to draw upon a time of steel and blade when armor-clad knights rode out and dueled their monsters to the death.","Horror ,Fantasy ,Drama ,Mystery ,Thriller"
5223,The Hutong Cowboy,"Zhang Beijing loss his face at his son’s engagement party. After that he refunds the sense of purpose by helping Liu Angxi, a screenwriter of the Beidiao Neighbour's talk show. However, he was pushed into the limelight after being used as material by Liu Angxi, and their friendship broke down","Drama ,Comedy"
5224,Vore. Unbirth. Dinner.,Round 6 with Ninero for the match-voting tournament.,
5225,Chhaava,"Shivaji's death sparks the Maratha-Mughal conflict. His son Sambhaji leads resistance against Aurangzeb's forces. Amid battles and intrigue, both sides face challenges in a struggle for power.","History ,Action ,Drama"
5226,Today Again,"Marco is an anxious nineteen-year-old approaching his final exams, with three subjects to catch up on, a mother glued to her smartphone, and a brother who dreams of becoming an indie singer. He is antisocial and wishes he could love the way people used to. Aria graduated the previous year, has *one day at a time* tattooed on her arm, and lives every day as if it were her last.","Drama ,Comedy ,Romance"
5227,The Stake Killer: Falkenstein’s Rebirth,"The legend tells, that count Falkenstein sought immortality through the souls of his victims. He went down in history as the first serial killer, even before Jack the ripper. Thirteen people fell to the ""stake killer"" before he was captured and executed in 1799. Even today whispers of his name roam through the secluded german highlands. Unaware, a group of young backpackers sets out on a hiking trip to the swabian alb. But this innocent outing will soon become a horrifying nightmare. Chased by a mysterious killer, they have little time to solve the riddle. Has Falksenstein returned? And how do you defend yourself against an immortal enemy?",
5228,William Tell,"The narrative unfolds in the 14th Century, when the European nations vie for supremacy within the Holy Roman Empire. The ambitious Austrian Empire, desiring more land, invades neighbouring Switzerland, a serene and pastoral nation. Protagonist William Tell, a formerly peaceful hunter, finds himself forced to take action as his family and homeland come under threat from the oppressive Austrian King and his ruthless warlords.","Action ,Adventure ,Drama ,History"
5229,Another Day Of Hope,"Wei Li is the product manager of an Internet delivery company. His mundane life is carved up by excessive overtime and all-nighters. His wife operates a dance studio, and his adolescent daughter is busy preparing for the high school entrance exam. This seemingly rather peaceful life has been shattered by a sudden accident…",Drama
5230,One Piece Yabai,,
5231,After All This Time,A tense phone call between a mother and daughter.,Drama
5232,Night Fever,"Asian Games silver medalist boxer Tae-gang and former K-pop star A-ri struggle to make ends meet in the boiling city of Bangkok while dreaming of a fresh start in Alaska. However, Tae-gang is swept up in a murder and arrested by Interpol agent Do-joon and Bangkok police. Imprisoned for something he did not do and cut off from the outside world, Tae-gang devises a plan to overturn his wrongful conviction and get even with those responsible.","Action ,Crime"
5233,Alpha,"Five boys live their lives hiding behind a mask of hatred and violence. Behind this facade, however, lies a great fragility crushed by the burden of always having to appear big and strong. The main character, Edo, however, has different origins and dreams from the rest of his group, and this begins to make him doubt his life choices. In fact, he himself will be the fuse that will bring down the big castle that he, along with his friends, have built. A journey into male identity animated by a deep and penetrating reflection on the hidden fragility of the individual, who dams up his own anxieties with a mask of masculinity and superiority.",Drama
5234,Overdue Duck,"At the library, Porky Pig tries to silence a troublemaking Daffy Duck.",
5235,The Old Man and the Land,"Over a series of telephone conversations with their sheep farmer father, a brother and sister try to come to terms with their dysfunctional past.",Drama
5236,The Rookie Guide,"Yann can’t find a job he likes or can keep, and dreams of a better life. One day he learns that the famous travel guide Le Routard pays its employees to travel the world. Surely the perfect free holiday! Smooth-talking his way through the door, Yann manages to get himself hired for a trial research trip to Morocco, but he rapidly comes to realise that he’s seriously underestimated the job… Beguiled by Sofia, a feisty tourist guide, Yann gets swept up in an art trafficking operation led by the infamous mobster art dealer Dr Charoux and is plunged into an adventure where nothing will go as planned!",Comedy
5237,Dance Still,"Dance Still is an affectionate comedy about two friends in Beijing who find a poster offering a huge reward for the recovery of a lost pigeon. They decide to spend the next year of their lives searching for it. Over the course of the year that follows, their friendship grows and deepens, even as they come to face the disappointment of unrealised dreams and shattered love. This journey represents a microcosm of the lives of contemporary Chinese youth.","Drama ,Comedy"
5238,Silver Apricot,"Jung-seo, who is planning on getting married, wins an apartment subscription, which is almost like winning a lottery. Not being able to pay the deposit, she makes a begrudging visit to her father for money, who had divorced her mother without paying any alimony. But when she meets his new family, everything gets messed up due to different desires of each of them. In the unexpected chaos, Jung-seo gradually faces what they really want, and most importantly, what she wants deep inside herself.",Drama
5239,Bad Director,"Director Gregor Samsa, washed-up and in his late fifties, is reviewing his life. Having wasted it as a cultural worker doesn't exactly add to his joy.",Comedy
5240,The G,"After a corrupt legal guardian puts her in a care home in order to take her property, a mysterious older woman seeks vengeance with the help of her granddaughter, who calls her 'The G'.","Thriller ,Crime"
5241,Darwin's Darlings,Standing near the reptile section in a zoo we can learn a lot about the animals on both sides of the separating glass.,Documentary
5242,The Sloth Lane,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.","Animation ,Family"
5243,The Killers,"Four master helmers from Korea reload the hitman flick. Vampire sleaze, assassin slapstick, neo-noir, and an avant-garde mind-bender to die (kill) for!","Action ,Thriller ,Crime"
5244,Mala Persona,"Pepe is the best person in the world, until he discovers that he has a terminal illness and has months to live. To avoid suffering for his loved ones, Pepe decides to become the worst person in the world and thus keep them away from him so that they don't miss him when he dies.",Comedy
5245,Julie Keeps Quiet,"As the star player at an elite tennis academy, Julie’s life revolves around the game she loves. When her coach falls under investigation and is suddenly suspended, all of the club’s players are encouraged to speak up. But Julie decides to keep quiet...",Drama
5246,Outlaw,"At the age of nine, Rebeca is sold by her grandmother to the bookseller who ran Rocinha. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer and, with the death of her partner, his successor. The electrifying trajectory of crime, violence, drugs and love of a female drug kingpin in Rocinha, Rio de Janeiro in the 1980s.","Action ,Crime ,Drama"
5247,Garudan,"Set in Theni, a minister’s greed to seize temple land sets in motion a chain of events that pits two childhood friends, Aadhi and Karuna against each other, Chokkan, who is their trusted confidant whose loyalty is tested in the tale of betrayal and retribution.","Action ,Crime ,Thriller"
5248,Kudi Haryane Val Di,"Attempting to impress a woman whose family is passionate about wrestling, a man accidentally bluffs his way into a coaching job.",Drama
5249,Here Now,"Sophie is a twenty-year-old American who has lived her life in isolation, cut off from the world. While on vacation in Palermo with her sister, she meets Giulio and his group of Sicilian friends during her final 24 hours before returning to California. Eager to break free from her sheltered past, Sophie embarks on a whirlwind romance with Giulio.","Thriller ,Crime ,Romance"
5250,The Image of You,"Identical twins Anna and Zoe find their bond tested over Anna's new love, Nick. While the trusting Anna is head over heels, her skeptical sister Zoe senses a web of deceit. But as Zoe digs for the truth, they're all pulled into a dangerous game where honesty could prove fatal.",Thriller
5251,Armor,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.","Action ,Crime ,Thriller"
5252,Continental Split,"As the New Madrid Fault threatens to tear the U.S. in half, a desperate team of seismologists and government agents race to prevent disaster while the clock ticks down.","Action ,Thriller ,Science Fiction"
5253,Raw Materials,A drama centered around a German construction manager who works with undocumented workers and an Albanian girl searching for her missing father.,Drama
5254,The Invisible Raptor,"After a top-secret experiment goes wrong, a hyper-intelligent invisible raptor escapes the lab and begins wreaking havoc in the surrounding neighborhood. When the creature’s identity is uncovered, it soon becomes clear that a disgraced paleontologist—alongside his ex-girlfriend, an unhinged amusement park security guard, and a local celebrity chicken farmer—is the town’s only hope for surviving the raptor’s ravenous rampage.","Comedy ,Thriller ,Mystery"
5255,With or Without Kids,"Pio and Anaïs, a couple about to get married, announce to their friends that their wedding will be child-free. However, their friends, who are now parents, decide to bring their children along, thinking they can hide them from the bride and groom.",Comedy
5256,Ipar Adalah Maut,"Aris was the perfect husband and ideal family man. That is, until his sister-in-law moves in and they begin a forbidden affair.",Drama
5257,Mudbrick,"After inheriting an old mudbrick house in his home village in Eastern Europe, a man returns after spending his whole life in England, only to find out that inhabitants are hiding a dark secret about the pagan Slavic cult and his own past.","Horror ,Drama"
5258,Kneecap,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip-hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue.","Music ,Comedy ,Drama"
5259,The Wedding Party,"A surprise engagement leads four soon-to-be step-siblings on a 1,400 mile road trip to set aside their differences and become a blended family.","Comedy ,Drama"
5260,Spears & Munsil Ultra HD Benchmark 2023 (Disk 1),,
5261,I Shall Not Hate,"From Gaza’s Jabaliya refugee camp, to the University of Toronto and the Supreme Court of Israel, I Shall Not Hate follows the uncharted path of Dr. Izzeldin Abuelaish, The first Palestinian doctor that worked in an Israeli hospital delivering babies, whose ethos of forgiveness and reconciliation is put to the ultimate test when an Israeli tank bombs his house, killing his three daughters. Against all odds, he turns his tragedy into a global campaign to eradicate hate.",Documentary
5262,The Funeral,"Cemal drives a hearse for a living. He's entrusted with secretly carrying the body of a young girl at the request of her family. One night, he hears strange groans from the back of the truck, even though the girl hasn't got a pulse.","Horror ,Thriller"
5263,A Girl Named Willow,"What could Willow do with an entire forest? That's exactly what she asks herself when she inherits this forest from her aunt Alwina. That's not all, though - Alwina has also left her a small, crooked cabin and, most importantly, her witchcraft. But the question remains: Will Willow even accept this unexpected inheritance, with all the consequences it entails?","Family ,Adventure ,Fantasy"
5264,Anything for a Pop Star 2,"Three friends who live in Resende, in the interior of Rio de Janeiro, and plan a trip in Babette's Beetle convertible to celebrate their 15 years of friendship and attend the closing show of the tour of a great pop star, who studied with them as a teenager. and today he is the most famous young singer in Brazil.",Comedy
5265,Checkmates,"Candela, the headmistress of an elite school, after a traumatic divorce, returns to her old high school to lead a group of rebellious students through chess. There she will learn that in chess, and in life, it doesn't matter if you are a king or a pawn, because everyone ends up in the same box.",Comedy
5266,Mordnacht,"One for all, all for one! That's the motto in the tranquil village of Heiterstorf just outside Hamburg. In order to be accepted again in his hometown, which Gabriel Panski once arrogantly left behind, the family man runs the gauntlet. After a depressing movie night at the rowing club, the heart of Heiterstorf, he is suddenly the ""man of the hour"". The village wants to help ensure that Panski doesn't have to pay for a public-spirited heroic deed: the murder of the Hamburg real estate shark Butz, who tried to rip everyone off. Although the moneyed dynast Erna Gutdorf herself scrubbed the crime scene at the rowing club, the clues lead to Panski. Inspector Winter is always one step ahead of the hungover suspect. However, she has to realize that her perfect puzzle of clues leads to a manipulated picture. When the inspector and the suspect pull together, they stumble upon a perfidious conspiracy...","TV Movie ,Crime"
5267,Forbidden Fairytale,An aspiring children's book writer agrees to write erotic web novels to pay her car repair debt – with unintended consequences for her coworker.,"Comedy ,Romance"
5268,Corps à cors,"Little by little, night falls, and the forests become secretive. In the dim light, shadows stir. We stay alert, watching for every movement and listening for every sound. Suddenly, a beast appears—a massive monster approaches… Its fur bristles, its muscles tense… it raises its head and lets out a guttural, terrifying cry. The coming night promises to be full of mystery and danger...",Documentary
